team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
Afghanistan,Ibrahim Zadran (Afghanistan),bat,28,22,,0.035714286,0.7857,India,Delhi,11-Oct-23,,,,1,4,0,78.57,0,31
Australia,PJ Cummins (Australia),bat,21,22,,0.047619048,1.0476,South Africa,Lucknow,12-Oct-23,,,,2,4,0,104.76,0,29
South Africa,G Coetzee (South Africa),bat,23,22,,0.043478261,0.9565,Netherlands,Dharamsala,17-Oct-23,,,,2,2,1,95.65,0,33
Bangladesh,Litton Das (Bangladesh),bat,44,22,,0.022727273,0.5,South Africa,Wankhede,24-Oct-23,,,,2,3,1,50,0,78
Sri Lanka,KIC Asalanka (Sri Lanka),bat,28,22,,0.035714286,0.7857,Afghanistan,Pune,30-Oct-23,,,,1,2,0,78.57,0,48
India,South Africa Yadav (India),bat,14,22,,0.071428571,1.5714,South Africa,Eden Gardens,5-Nov-23,,,,1,5,0,157.14,0,19
Bangladesh,Mahmudullah (Bangladesh),bat,23,22,,0.043478261,0.9565,Sri Lanka,Delhi,6-Nov-23,,,,2,3,1,95.65,0,37
Afghanistan,Azmatullah Omarzai (Afghanistan),bat,18,22,,0.055555556,1.2222,Australia,Wankhede,7-Nov-23,,,,1,1,2,122.22,0,23
Netherlands,AT Nidamanuru (Netherlands),bat,26,21,,0.038461538,0.8076,New Zealand,Hyderabad,9-Oct-23,,,,2,2,1,80.76,0,28
Afghanistan,Rahmanullah Gurbaz (Afghanistan),bat,28,21,,0.035714286,0.75,India,Delhi,11-Oct-23,,,,1,3,1,75,0,65
Australia,MP Stoinis (Australia),bat,24,21,,0.041666667,0.875,Pakistan,Bengaluru,20-Oct-23,,,,1,1,1,87.5,0,46
Pakistan,Iftikhar Ahmed (Pakistan),bat,31,21,,0.032258065,0.6774,South Africa,Chennai,27-Oct-23,,,,1,1,1,67.74,0,38
South Africa,HE van der Dussen (South Africa),bat,39,21,,0.025641026,0.5384,Pakistan,Chennai,27-Oct-23,,,,2,0,0,53.84,0,71
New Zealand,TWM Latham (New Zealand),bat,22,21,,0.045454545,0.9545,Australia,Dharamsala,28-Oct-23,,,,2,2,0,95.45,0,29
India,KL Rahul (India),bat,19,21,,0.052631579,1.1052,Sri Lanka,Wankhede,2-Nov-23,,,,1,2,0,110.52,0,34
Sri Lanka,M Theekshana (Sri Lanka),bat,31,21,,0.032258065,0.6774,Bangladesh,Delhi,6-Nov-23,,,,1,3,0,67.74,0,35
Afghanistan,Rahmanullah Gurbaz (Afghanistan),bat,25,21,,0.04,0.84,Australia,Wankhede,7-Nov-23,,,,1,2,0,84,0,38
Australia,MP Stoinis (Australia),bat,10,20,,0,2,Sri Lanka,Lucknow,16-Oct-23,,,,2,2,1,200,1,10
England,LS Livingstone (England),bat,22,20,,0.045454545,0.909,New Zealand,Ahmedabad,5-Oct-23,,,,1,3,0,90.9,0,23
England,JC Buttler (England),bat,10,20,,0.1,2,Bangladesh,Dharamsala,10-Oct-23,,,,1,1,1,200,0,11
England,HC Brook (England),bat,15,20,,0.066666667,1.3333,Bangladesh,Dharamsala,10-Oct-23,,,,1,3,0,133.33,0,23
Pakistan,Abdullah Shafique (Pakistan),bat,24,20,,0.041666667,0.8333,India,Ahmedabad,14-Oct-23,,,,1,3,0,83.33,0,39
England,AU Rashid (England),bat,13,20,,0.076923077,1.5384,Afghanistan,Delhi,15-Oct-23,,,,2,2,0,153.84,0,24
Netherlands,AT Nidamanuru (Netherlands),bat,25,20,,0.04,0.8,South Africa,Dharamsala,17-Oct-23,,,,1,3,0,80,0,56
South Africa,Q de Kock (South Africa),bat,22,20,,0.045454545,0.909,Netherlands,Dharamsala,17-Oct-23,,,,2,3,0,90.9,0,28
New Zealand,DP Conway (New Zealand),bat,18,20,,0.055555556,1.1111,Afghanistan,Chennai,18-Oct-23,,,,1,3,0,111.11,0,27
South Africa,M Jansen (South Africa),bat,14,20,,0.071428571,1.4285,Pakistan,Chennai,27-Oct-23,,,,2,2,1,142.85,0,18
Bangladesh,Mahmudullah (Bangladesh),bat,41,20,,0.024390244,0.4878,Netherlands,Eden Gardens,28-Oct-23,,,,2,2,0,48.78,0,70
Bangladesh,Mustafizur Rahman (Bangladesh),bat,35,20,,0.028571429,0.5714,Netherlands,Eden Gardens,28-Oct-23,,,,2,2,1,57.14,0,34
Afghanistan,Ibrahim Zadran (Afghanistan),bat,34,20,,0.029411765,0.5882,Netherlands,Lucknow,3-Nov-23,,,,2,2,0,58.82,0,44
England,AU Rashid (England),bat,15,20,,0.066666667,1.3333,Australia,Ahmedabad,4-Nov-23,,,,2,1,1,133.33,0,23
India,KL Rahul (India),bat,29,19,,0,0.6551,Pakistan,Ahmedabad,14-Oct-23,,,,2,2,0,65.51,1,33
Afghanistan,Ikram Alikhil (Afghanistan),bat,21,19,,0,0.9047,New Zealand,Chennai,18-Oct-23,,,,2,3,0,90.47,1,42
Afghanistan,Mohammad Nabi (Afghanistan),bat,27,19,,0.037037037,0.7037,India,Delhi,11-Oct-23,,,,1,1,0,70.37,0,52
Australia,SPD Smith (Australia),bat,16,19,,0.0625,1.1875,South Africa,Lucknow,12-Oct-23,,,,2,4,0,118.75,0,20
Afghanistan,Azmatullah Omarzai (Afghanistan),bat,24,19,,0.041666667,0.7916,England,Delhi,15-Oct-23,,,,1,1,1,79.16,0,25
Netherlands,South Africa Engelbrecht (Netherlands),bat,37,19,,0.027027027,0.5135,South Africa,Dharamsala,17-Oct-23,,,,1,1,1,51.35,0,41
India,SS Iyer (India),bat,25,19,,0.04,0.76,Bangladesh,Pune,19-Oct-23,,,,2,2,0,76,0,38
Bangladesh,Nasum Ahmed (Bangladesh),bat,19,19,,0.052631579,1,South Africa,Wankhede,24-Oct-23,,,,2,3,0,100,0,27
Sri Lanka,BKG Mendis (Sri Lanka),bat,30,19,,0.033333333,0.6333,Bangladesh,Delhi,6-Nov-23,,,,1,1,1,63.33,0,49
Sri Lanka,DM de Silva (Sri Lanka),bat,24,19,,0.041666667,0.7916,New Zealand,Bengaluru,9-Nov-23,,,,1,2,1,79.16,0,36
Sri Lanka,D Madushanka (Sri Lanka),bat,48,19,,0.020833333,0.3958,New Zealand,Bengaluru,9-Nov-23,,,,1,2,0,39.58,0,56
Afghanistan,Rahmat Shah (Afghanistan),bat,25,18,,0.04,0.72,Bangladesh,Dharamsala,7-Oct-23,,,,1,1,0,72,0,30
Afghanistan,Hashmatullah Shahidi (Afghanistan),bat,38,18,,0.026315789,0.4736,Bangladesh,Dharamsala,7-Oct-23,,,,1,2,0,47.36,0,34
Netherlands,BFW de Leede (Netherlands),bat,25,18,,0.04,0.72,New Zealand,Hyderabad,9-Oct-23,,,,2,3,0,72,0,21
England,MA Wood (England),bat,22,18,,0.045454545,0.8181,Afghanistan,Delhi,15-Oct-23,,,,2,3,0,81.81,0,26
Netherlands,MP O'Dowd (Netherlands),bat,25,18,,0.04,0.72,South Africa,Dharamsala,17-Oct-23,,,,1,4,0,72,0,33
Pakistan,Babar Azam (Pakistan),bat,14,18,,0.071428571,1.2857,Australia,Bengaluru,20-Oct-23,,,,2,3,0,128.57,0,27
Australia,SPD Smith (Australia),bat,17,18,,0.058823529,1.0588,New Zealand,Dharamsala,28-Oct-23,,,,1,2,0,105.88,0,19
Australia,M Labuschagne (Australia),bat,26,18,,0.038461538,0.6923,New Zealand,Dharamsala,28-Oct-23,,,,1,2,0,69.23,0,36
Australia,DA Warner (Australia),bat,29,18,,0.034482759,0.6206,Afghanistan,Wankhede,7-Nov-23,,,,2,3,0,62.06,0,46
Pakistan,Iftikhar Ahmed (Pakistan),bat,15,17,,0,1.1333,Bangladesh,Eden Gardens,31-Oct-23,,,,2,2,0,113.33,1,17
New Zealand,GD Phillips (New Zealand),bat,10,17,,0,1.7,Sri Lanka,Bengaluru,9-Nov-23,,,,2,3,0,170,1,15
Netherlands,CN Ackermann (Netherlands),bat,21,17,,0.047619048,0.8095,Pakistan,Hyderabad,6-Oct-23,,,,2,3,0,80.95,0,24
South Africa,DA Miller (South Africa),bat,13,17,,0.076923077,1.3076,Australia,Lucknow,12-Oct-23,,,,1,1,1,130.76,0,35
Bangladesh,Taskin Ahmed (Bangladesh),bat,19,17,,0.052631579,0.8947,New Zealand,Chennai,13-Oct-23,,,,1,0,2,89.47,0,25
England,HC Brook (England),bat,25,17,,0.04,0.68,South Africa,Wankhede,21-Oct-23,,,,2,2,1,68,0,33
New Zealand,WA Young (New Zealand),bat,27,17,,0.037037037,0.6296,India,Dharamsala,22-Oct-23,,,,1,3,0,62.96,0,41
Pakistan,Imam-ul-Haq (Pakistan),bat,22,17,,0.045454545,0.7727,Afghanistan,Chennai,23-Oct-23,,,,1,2,0,77.27,0,44
New Zealand,MJ Santner (New Zealand),bat,12,17,,0.083333333,1.4166,Australia,Dharamsala,28-Oct-23,,,,2,1,1,141.66,0,13
Netherlands,BFW de Leede (Netherlands),bat,32,17,,0.03125,0.5312,Bangladesh,Eden Gardens,28-Oct-23,,,,1,2,0,53.12,0,49
